#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 07 01 50  91  7.4  8.5 99.00 99.00 99.00 999 1013.8  26.3  27.1  22.6 99.0 99.00
2011 01 07 02 50  94  7.3  8.4  1.31  5.26  4.53 999 1013.5  26.4  27.1  22.6 99.0 99.00
2011 01 07 03 50  87  6.9  7.9  1.31 10.00  4.65 999 1013.1  26.4  27.2  22.5 99.0 99.00
2011 01 07 04 50  87  6.7  7.7  1.31  4.76  4.59 999 1012.8  26.4  27.2  22.7 99.0 99.00
2011 01 07 05 50  99  7.1  8.2  1.36  5.26  4.63 999 1012.2  26.4  27.2  22.7 99.0 99.00
2011 01 07 06 50  96  6.7  8.3  1.38 10.00  4.73 999 1011.6  26.4  27.2  22.7 99.0 99.00
2011 01 07 07 50  96  6.5  7.7  1.30  4.55  4.62 999 1011.6  26.4  27.2  22.9 99.0 99.00
2011 01 07 08 50 100  7.0  8.0  1.33  4.76  4.62 999 1011.6  26.4  27.2  22.9 99.0 99.00
2011 01 07 09 50 101  6.6  7.8  1.26  4.76  4.70 999 1012.1  26.5  27.2  23.0 99.0 99.00
2011 01 07 10 50 113  6.3  7.4  1.29  9.09  4.61 999 1012.7  26.6  27.2  22.6 99.0 99.00
2011 01 07 11 50 111  6.5  7.4  1.23 11.43  4.52 999 1013.4  27.1  27.2  22.5 99.0 99.00
2011 01 07 12 50 115  6.2  7.6  1.12 10.81  4.61 999 1014.2  27.4  27.2  22.3 99.0 99.00
2011 01 07 13 50 124  5.9  6.7  1.09  4.17  4.40 999 1014.4  27.5  27.2  22.4 99.0 99.00
2011 01 07 14 50 122  5.7  7.0  1.06 11.43  4.53 999 1014.2  27.4  27.3  22.8 99.0 99.00
2011 01 07 15 50 128  6.0  7.0  1.12 10.00  4.57 999 1013.6  27.5  27.3  22.8 99.0 99.00
2011 01 07 16 50 137  6.0  6.9  1.11  5.00  4.41 999 1012.8  27.5  27.4  22.6 99.0 99.00
2011 01 07 17 50 145  5.9  6.8  1.10  4.55  4.51 999 1012.0  27.5  27.4  22.2 99.0 99.00
2011 01 07 18 50 137  5.2  5.9  1.04 11.43  4.51 999 1011.6  27.6  27.4  22.1 99.0 99.00
2011 01 07 19 50 140  4.1  5.0  1.11  4.76  4.69 999 1011.7  27.7  27.4  22.2 99.0 99.00
2011 01 07 20 50 142  3.2  3.9  1.06  4.55  4.48 999 1012.0  27.3  27.4  22.4 99.0 99.00
2011 01 07 21 50 127  2.8  3.5  0.99 10.00  4.81 999 1012.4  27.0  27.4  22.6 99.0 99.00
2011 01 07 22 50 107  1.8  2.5  0.90  8.33  4.81 999 1012.7  26.9  27.3  22.7 99.0 99.00
2011 01 07 23 50  91  2.3  2.9  0.86 11.43  4.87 999 1013.4  26.9  27.3  22.8 99.0 99.00
2011 01 08 00 50  90  2.9  3.7  0.84  8.33  5.04 999 1013.7  26.9  27.3  22.8 99.0 99.00
2011 01 08 01 50  75  2.9  3.4  0.81  9.09  5.05 999 1013.9  26.8  27.3  22.6 99.0 99.00
2011 01 08 02 50  93  3.5  4.2  0.84  8.33  4.90 999 1013.7  26.8  27.3  22.6 99.0 99.00
2011 01 08 03 50 100  4.6  5.8  0.81  8.33  5.02 999 1013.4  26.7  27.2  22.7 99.0 99.00
2011 01 08 04 50 117  5.2  6.4  0.88  8.33  5.18 999 1012.8  26.6  27.3  22.7 99.0 99.00
2011 01 08 05 50 122  5.9  6.9  0.82  9.09  4.84 999 1012.1  26.6  27.3  22.6 99.0 99.00
2011 01 08 06 50 112  5.6  6.7  0.87  8.33  4.73 999 1011.6  26.6  27.2  22.0 99.0 99.00
2011 01 08 07 50 114  5.7  6.8  0.94  5.00  4.45 999 1011.7  26.5  27.2  22.3 99.0 99.00
2011 01 08 08 50 121  5.4  6.5  1.01  8.33  4.46 999 1012.1  26.6  27.2  21.8 99.0 99.00
2011 01 08 09 50 115  5.4  6.3  1.02  5.00  4.34 999 1012.4  26.7  27.2  21.8 99.0 99.00
2011 01 08 10 50 115  6.3  7.2  1.05  8.33  4.30 999 1012.7  26.4  27.2  21.9 99.0 99.00
2011 01 08 11 50 120  6.5  7.3  1.05  4.55  4.22 999 1013.9  27.1  27.2  21.9 99.0 99.00
2011 01 08 12 50 110  6.9  8.2  1.03  5.00  4.06 999 1014.8  27.3  27.2  22.0 99.0 99.00
2011 01 08 13 50  94  5.5  6.7  1.09  4.35  4.24 999 1015.2  27.2  27.2  22.2 99.0 99.00
2011 01 08 14 50 105  7.6  9.0  1.04  8.33  4.26 999 1015.1  27.2  27.2  22.1 99.0 99.00
2011 01 08 15 50  71  5.4  6.5  1.12  9.09  4.24 999 1014.7  27.3  27.3  22.3 99.0 99.00
2011 01 08 16 50  82  5.7  6.7  1.12  8.33  4.29 999 1013.8  27.3  27.3  21.9 99.0 99.00
2011 01 08 17 50  90  6.0  7.0  1.11  4.55  4.26 999 1013.2  27.3  27.3  21.7 99.0 99.00
2011 01 08 18 50  90  5.8  7.1  1.14  4.35  4.26 999 1012.9  27.4  27.3  21.8 99.0 99.00
2011 01 08 19 50  96  6.1  7.5  1.15  4.76  4.44 999 1012.9  27.3  27.3  22.0 99.0 99.00
2011 01 08 20 50  99  6.2  7.2  1.18  5.00  4.42 999 1013.2  27.4  27.3  21.9 99.0 99.00
2011 01 08 21 50 101  7.3  8.6  1.29  4.76  4.32 999 1013.2  27.1  27.2  22.4 99.0 99.00
2011 01 08 22 50 100  7.8  9.4  1.26  8.33  4.37 999 1013.7  26.9  27.2  22.6 99.0 99.00
2011 01 08 23 50 100  7.7  8.8  1.36  5.00  4.48 999 1014.3  26.9  27.1  22.7 99.0 99.00
2011 01 09 00 50  97  8.2  9.9  1.41  5.26  4.37 999 1015.0  26.8  27.1  22.8 99.0 99.00
2011 01 09 01 50  98  8.5  9.6  1.59  5.56  4.63 999 1015.1  26.8  27.1  22.8 99.0 99.00
2011 01 09 02 50 101  8.5 10.0  1.80  5.88  4.70 999 1014.8  26.7  27.1  22.6 99.0 99.00
2011 01 09 03 50 101  8.3  9.6  1.73  5.56  4.71 999 1014.4  26.7  27.1  22.7 99.0 99.00
2011 01 09 04 50  88  7.7  9.1  1.76  5.88  4.76 999 1014.4  26.6  27.1  22.8 99.0 99.00
2011 01 09 05 50  95  7.7  9.5  1.76  5.00  4.76 999 1014.3  26.6  27.1  22.4 99.0 99.00
2011 01 09 06 50  91  7.8  9.4  1.67  5.88  4.73 999 1013.7  26.6  27.1  22.7 99.0 99.00
2011 01 09 07 50  87  7.9  9.2  1.59  5.56  4.71 999 1013.6  26.6  27.1  22.5 99.0 99.00
2011 01 09 08 50  81  7.7  9.8  1.63  5.88  4.73 999 1013.8  26.5  27.1  22.8 99.0 99.00
2011 01 09 09 50  85  8.0  9.6  1.70  5.26  4.67 999 1014.2  26.5  27.1  22.5 99.0 99.00
2011 01 09 10 50  98  8.3 10.0  1.51  5.26  4.48 999 1014.9  26.7  27.1  22.6 99.0 99.00
2011 01 09 11 50  94  8.7 10.1  1.56  5.26  4.49 999 1015.6  27.0  27.1  22.4 99.0 99.00
