#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 07 06 50 141  4.1  5.1  0.32 12.12  5.19 999  999.6   2.6   5.3 999.0 99.0 99.00
2011 01 07 07 50 139  4.7  5.6  0.31 11.43  4.66 999  999.1   2.9   5.3 999.0 99.0 99.00
2011 01 07 08 50 154  4.4  5.5  0.40  7.14  3.77 999  998.5   3.3   5.5 999.0 99.0 99.00
2011 01 07 09 50 176  4.4  5.3  0.37  7.14  3.34 999  998.1   3.4   5.5 999.0 99.0 99.00
2011 01 07 10 50 160  5.7  6.6  0.37  6.67  3.03 999  997.8   3.7   5.6 999.0 99.0 99.00
2011 01 07 11 50 176  5.5  6.9  0.48  2.74  2.96 999  997.7   4.1   5.5 999.0 99.0 99.00
2011 01 07 12 50 184  5.2  6.1  0.44  2.86  3.05 999  997.4   4.5   5.5 999.0 99.0 99.00
2011 01 07 13 50 191  5.6  6.7  0.49  3.03  3.05 999  997.1   4.6   5.4 999.0 99.0 99.00
2011 01 07 14 50 258  7.7  9.7  0.47  3.03  3.12 999  996.7   3.8   5.4 999.0 99.0 99.00
2011 01 07 15 50 284  7.2  8.6  0.61  3.23  3.14 999  996.3   3.0   5.5 999.0 99.0 99.00
2011 01 07 16 50 317  7.9  9.4  0.62  3.70  3.02 999  995.7   2.4   5.5 999.0 99.0 99.00
2011 01 07 17 50 330  8.9 10.2  0.70  2.86  3.01 999  995.2   1.9   5.6 999.0 99.0 99.00
2011 01 07 18 50 335  7.8  9.0  0.84  3.57  3.28 999  995.2   1.9   5.8 999.0 99.0 99.00
2011 01 07 19 50 339  7.1  8.7  0.82  4.00  3.35 999  995.3   1.9   5.8 999.0 99.0 99.00
2011 01 07 20 50 341  6.8  8.3  0.81  4.17  3.52 999  995.6   1.8   5.7 999.0 99.0 99.00
2011 01 07 21 50 294  6.1  7.3  0.78  4.00  3.60 999  996.3   2.1   5.7 999.0 99.0 99.00
2011 01 07 22 50 293  5.1  6.5  0.79  3.85  3.60 999  997.2   1.7   5.4 999.0 99.0 99.00
2011 01 07 23 50 334  3.6  5.4  0.70  3.70  3.63 999  997.6   1.6   5.3 999.0 99.0 99.00
2011 01 08 00 50 318  3.7  4.9  0.63  3.70  3.80 999  997.9   1.5   5.3 999.0 99.0 99.00
2011 01 08 01 50 314  2.6  4.1  0.58  4.00  3.80 999  998.1   1.3   5.2 999.0 99.0 99.00
2011 01 08 02 50 326  1.7  2.6  0.56  4.55  3.91 999  998.4   1.3   5.2 999.0 99.0 99.00
2011 01 08 03 50   7  1.4  2.6  0.53  4.00  4.09 999  998.1   1.3   5.2 999.0 99.0 99.00
2011 01 08 04 50  54  1.4  2.1 99.00 99.00 99.00 999  997.9   1.3   5.2 999.0 99.0 99.00
2011 01 08 05 50  79  3.0  3.9 99.00 99.00 99.00 999  996.8   1.4   5.2 999.0 99.0 99.00
2011 01 08 06 50  81  4.4  5.5  0.46  7.14  4.44 999  996.5   1.7   5.2 999.0 99.0 99.00
2011 01 08 07 50  90  4.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
